漢字,臺灣台語羅馬字
--a,--a
--ā,--ā
--à,--à
--ê,--ê
--ah,--ah
a̍h,a̍h
ài,ài
āinn,āinn
iāng,iāng
ám,ám
án-ne,án-ne
án-ni,án-ni
ân,ân
紅kì-kì,âng-kì-kì
at,at
au,au
áu,áu
àu,àu
bā,bā
bā-hio̍h,bā-hio̍h
lā-hio̍h,lā-hio̍h
bái,bái
bat,bat
pat,pat
bāu,bāu
bē,bē
buē,buē
bē-tàng,bē-tàng
buē-tàng,buē-tàng
beh,beh
bueh,bueh
bî,bî
bih,bih
無khah-tsua̍h,bô-khah-tsua̍h
bóng,bóng
bông,bông
尾--à,bué--à
尾--à,bé--à
ê,ê
ē,ē
uē,uē
ē-hâi,ē-hâi
ē-huâi,ē-huâi
ē-hiáu,ē-hiáu
ing暗,ing-àm
下hng暗,ē-hng-àm
ē-tàng,ē-tàng
ē-thang,ē-thang
ē得,ē-tit
ē得thang,ē-tit-thang
é-káu,é-káu
gāng,gāng
gâu,gâu
giap,giap
gia̍p,gia̍p
gia̍t-siâu,gia̍t-siâu
gīm,gīm
gîm,gîm
gōng,gōng
ha̍h,ha̍h
hah-hì,hah-hì
ham-á,ham-á
hàm,hàm
hân-bān,hân-bān
háu,háu
he,he
hē,hē
hia,hia
hiâ,hiâ
hia ê,hia ê
hia--ê,hia--ê
hia-ê,hia-ê
hiah,hiah
hiah-nī,hiah-nī
hiam,hiam
hiān-sì,hiān-sì
hiánn頭,hiánn-thâu
hiânn,hiânn
hiat,hiat
hiau-hīng,hiau-hīng
hiau-pai,hiau-pai
hia-pai,hia-pai
hip,hip
hip相,hip-siòng
hip相,hip-siōng
hit,hit
hit當時,hit-tong-sî
hònn,hònn
hôo-sîn,hôo-sîn
hōo,hōo
hu,hu
hú,hú
huah,huah
hua̍t-lo̍h,hua̍t-lo̍h
椅liâu,í-liâu
椅tiâu,í-tiâu
ī,ī
i̋,i̋
e̋,e̋
iah,iah
ia̍h,ia̍h
ah,ah
a̍h,a̍h
iah是,iah-sī
ia̍h是,ia̍h-sī
ah是,ah-sī
