漢字,臺灣台語羅馬字
司法院,Su-huat-īnn
行政院,Hîng-tsìng-īnn
監察院,Kàm-tshat-īnn
考試院,Khó-tshì-īnn
第一局,Tē-it-kio̍k
第二局,Tē-jī-kio̍k
第三局,Tē-sann-kio̍k
機要室,Ki-iàu-sik
侍衛室,sū-uē-sik
公共事務室,Kong-kiōng sū-bū-sik
人事處,jîn-sū-tshù
主計處,Tsú-kè-tshù
政風處,Tsìng-hong-tshù
法規委員會,Huat-kui Uí-uân-huē
中央研究院,Tiong-iong Gián-kiù-īnn
內政部,Luē-tsìng-pōo
內政部,Lāi-tsìng-pōo
外交部,Guā-kau-pōo
國防部,Kok-hông-pōo
財政部,Tsâi-tsíng-pōo
教育部,Kàu-io̍k-pōo
法務部,Huat-bū-pōo
經濟部,King-tsè-pōo
交通部,Kau-thong-pōo
勞動部,Lô-tōng-pōo
農業部,Lông-gia̍p-pōo
衛生福利部,Uē-sing Hok-lī-pōo
衛生福利部,Uī-sing Hok-lī-pōo
衛福部,Uē-hok-pōo
衛福部,Uī-hok-pōo
環境部,Khuân-kíng-pōo
環境部,Huân-kíng-pōo
文化部,Bûn-huà-pōo
數位發展部,Sòo-uī Huat-tián-pōo
數發部,Sòo-huat-pōo
運動部,Ūn-tōng-pōo
國家發展委員會,Kok-ka Huat-tián Uí-uân-huē
國發會,Kok-huat-huē
國家科學及技術委員會,Kok-ka Kho-ha̍k ki̍p Kī-su̍t Uí-uân-huē
國科會,Kok-kho-huē
大陸委員會,Tāi-lio̍k Uí-uân-huē
陸委會,Lio̍k-uí-huē
金融監督管理委員會,Kim-iông Kàm-tok Kuán-lí Uí-uân-huē
金管會,Kim-kuán-huē
海洋委員會,Hái-iûnn Uí-uân-huē
海委會,Hái-uí-huē
僑務委員會,Kiâu-bū Uí-uân-huē
僑委會,Kiâu-uí-huē
國軍退除役官兵輔導委員會,Kok-kun Thuè-tî-i̍k Kuann-ping Hú-tō Uí-uân-huē
國軍退除役官兵輔導委員會,Kok-kun Thè-tû-i̍k Kuann-ping Hú-tō Uí-uân-huē
國軍退除役官兵輔導委員會,Kok-kun Thèr-tîr-i̍k Kuann-ping Hú-tō Uí-uân-huē
退輔會,Thè-hú-huē
退輔會,Thuè-hú-huē
退輔會,Thèr-hú-huē
原住民族委員會,原住民族委員會
原委會,Guân-uí-huē
客家委員會,Kheh-ka Uí-uân-huē
客委會,Kheh-uí-huē
行政院公共工程委員會,Hîng-tsìng-īnn Kong-kiōng Kang-tîng Uí-uân-huē
行政院公共工程委員會,Hîng-tsìng-īnn Kong-kiōng Kang-thîng Uí-uân-huē
工程會,Kang-tîng-huē
工程會,Kang-thîng-huē
行政院主計總處,Hîng-tsìng-īnn Tsú-kè Tsóng-tshù
主計總處,Tsú-kè Tsóng-tshù
行政院人事行政總處,Hîng-tsìng-īnn Jîn-sū Hîng-tsìng Tsóng-tshù
行政院人事行政總處,Hîng-tsìng-īnn Lîn-sū Hîng-tsìng Tsóng-tshù
人事總處,Jîn-sū Tsóng-tshù
人事總處,Lîn-sū Tsóng-tshù
中央銀行,Tiong-iong Gîn-hâng
中央銀行,Tiong-iong Gûn-hâng
中央銀行,Tiong-iong Gîrn-hâng
國立故宮博物院,Kok-li̍p Kòo-kiong Phok-bu̍t-īnn
故宮,Kòo-kiong
中央選舉委員會,Tiong-iong Suán-kí Uí-uân-huē
中央選舉委員會,Tiong-iong Suán-kú Uí-uân-huē
中央選舉委員會,Tiong-iong Suán-kír Uí-uân-huē
中選會,Tiong-suán-huē
公平交易委員會,Kong-pênn Kau-i̍k Uí-uân-huē
公平交易委員會,Kong-pînn Kau-i̍k Uí-uân-huē
公交會,Kong-kau-huē
國家通訊傳播委員會,Kok-ka Thong-sìn Thuân-pòo Uí-uân-huē
國家通訊傳播委員會,Kok-ka Thong-sìn Thuân-pò Uí-uân-huē
通傳會,Thong-thuân-huē
國傳會,Kok-thuân-huē
綜合業務處,tsóng-ha̍p gia̍p-bū-tshù
內政衛福勞動處,Luē-tsìng Uē-ho̍k Lô-tōng-tshù
內政衛福勞動處,Lāi-tsìng Uē-ho̍k Lô-tōng-tshù
內政衛福勞動處,Luē-tsìng Uī-ho̍k Lô-tōng-tshù
內政衛福勞動處,Lāi-tsìng Uī-ho̍k Lô-tōng-tshù
外交國防法務處,Guā-kau Kok-hông Huat-bū-tshù
交通環境資源處,Kau-thong Khuân-kíng Tsu-guân-tshù
交通環境資源處,Kau-thong Huân-kíng Tsu-guân-tshù
財政主計金融處,Tsâi-tsìng Tsú-kè Kim-iông-tshù
經濟能源農業處,King-tsè Lîng-guân Lông-gia̍p-tshù
教育科學文化處,Kàu-io̍k Kho-ha̍k Bûn-huà-tshù
消費者保護處,Siau-huì-tsiá Pó-hōo-tshù
性別平等處,Sìng-pia̍t Pîng-tíng-tshù
新聞傳播處,Sin-bûn Thuân-pòo-tshù
新聞傳播處,Sin-bûn Thuân-pò-tshù
人權及轉型正義處,Jîn-khuân ki̍p Tsuán-hîng Tsìng-gī-tshù
人權及轉型正義處,Lîn-khuân ki̍p Tsuán-hîng Tsìng-gī-tshù
人權及轉型正義處,Jîn-kuân ki̍p Tsuán-hîng Tsìng-gī-tshù
人權及轉型正義處,Lîn-kuân ki̍p Tsuán-hîng Tsìng-gī-tshù
國土安全辦公室,Kok-thóo An-tsuân Pān-kong-sik
災害防救辦公室,Tsai-hāi Hông-kiù Pān-kong-sik
法規會,Huat-kui-huē
公共關係處,Kong-kiōng Kuan-hē-tshù
秘書處,Pì-su-tshù
人事處,Jîn-sū-tshù
人事處,Lîn-sū-tshù
政風處,Tsìng-hong-tshù
主計處,Tsú-kè-tshù
資訊處,Tsū-sìn-tshù
食品安全辦公室,Si̍t-phín An-tsuân Pān-kong-sik
打擊詐欺指揮中心,Tánn-kik Tsà-khi Tsí-hui Tiong-sim
中部聯合服務中心,Tiong-pōo Liân-ha̍p Ho̍k-bū Tiong-sim
南部聯合服務中心,Lâm-pōo Liân-ha̍p Ho̍k-bū Tiong-sim
東部聯合服務中心,Tang-pōo Liân-ha̍p Ho̍k-bū Tiong-sim
雲嘉南區聯合服務中心,Hûn-ka-lâm-khu Liân-ha̍p Ho̍k-bū Tiong-sim
內政委員會,Luē-tsìng Uí-uân-huē
內政委員會,Lāi-tsìng Uí-uân-huē
外交及國防委員會,Guā-kau ki̍p Kok-hông Uí-uân-huē
經濟委員會,King-tsè Uí-uân-huē
財政委員會,Tsâi-tsìng Uí-uân-huē
教育及文化委員會,Kàu-io̍k ki̍p Bûn-huà Uí-uân-huē
交通委員會,Kau-thong Uí-uân-huē
司法及法制委員會,Su-huat kip Huat-tsè Uí-uân-huē
社會福利及衛生環境委員會,Siā-huē Hok-lī ki̍p Uē-sing Khuân-kíng Uí-uân-huē
社會福利及衛生環境委員會,Siā-huē Hok-lī ki̍p Uī-sing Khuân-kíng Uí-uân-huē
社會福利及衛生環境委員會,Siā-huē Hok-lī ki̍p Uē-sing Huân-kíng Uí-uân-huē
社會福利及衛生環境委員會,Siā-huē Hok-lī ki̍p Uī-sing Huân-kíng Uí-uân-huē
程序委員會,Thîng-sū Uí-uân-huē
程序委員會,Tîng-sū Uí-uân-huē
紀律委員會,Kì-lu̍t Uí-uân-huē
修憲委員會,Siu-hiàn Uí-uân-huē
經費稽核委員會,King-huì Khe-hi̍k Uí-uân-huē
秘書處,Pì-su-tshù
國際事務處,Kok-tsè Sū-bū-tshù
議事處,Gī-sū-tshù
公報處,Kong-pò-tshù
總務處,Tsóng-bū-tshù
資訊處,Tsū-sìn-tshù
法制局,Huat-tsè-kio̍k
預算中心,Ī-suàn Tiong-sim
預算中心,Ū-suàn Tiong-sim
預算中心,Īr-suàn Tiong-sim
國會圖書館,Kok-huē Tôo-su-kuán
國會圖書館,Kok-huē Tôo-tsu-kuán
中南部服務中心,Tiong-lâm-pōo Ho̍k-bū Tiong-sim
議政博物館,Gī-tsìng Phok-bu̍t-kuán
人事處,Jîn-sū-tshù
人事處,Lîn-sū-tshù
主計處,Tsú-kè-tshù
考試委員,khó-tshì uí-uân
考選部,Khó-suán-pōo
銓敘部,Tshuan-sū-pōo
公務人員保障暨培訓委員會,Kong-bū Jîn-uân Pó-tsiong kì Puê-hùn Uí-uân-huē
公務人員保障暨培訓委員會,Kong-bū Lîn-uân Pó-tsiong kì Puê-hùn Uí-uân-huē
公務人員保障暨培訓委員會,Kong-bū Jîn-guân Pó-tsiong kì Puê-hùn Uí-uân-huē
公務人員保障暨培訓委員會,Kong-bū Lîn-guân Pó-tsiong kì Puê-hùn Uí-uân-huē
保訓會,Pó-hùn-huē
考選處,Khó-suán-tshù
銓敘處,Tshuan-sū-tshù
保訓綜規處,Pó-hùn Tsong-kui-tshù
資訊處,Tsu-sìn-tshù
編研中心,Pian-gián tiong-sim
秘書處,Pì-su-tshù
人事室,Jîn-sū-sik
人事室,Lîn-sū-sik
會計室,Kuè-kè-sik
統計室,Thóng-kè-sik
政風處,Tsìng-hong-tshù
法規委員會,Huat-kui Uí-uân-huē
公務人員退休撫卹基金管理局,Kong-bū Jîn-uân Thè-hiu Bú-sut Ki-kim Kuán-lí-kio̍k
公務人員退休撫卹基金管理局,Kong-bū Jîn-uân Thè-hiu Bú-sut Ki-kim Kuán-lí-kio̍k
基金管理局,Ki-kim Kuán-lí-kio̍k
國家文官學院,Kok-ka Bûn-kuann Ha̍k-īnn
中區培訓中心,Tiong-khu Puê-hùn Tiong-sim
監察業務處,Kàm-tshat Gia̍p-bū-tshù
監察調查處,Kàm-tshat Tiâu-tsa-tshù
公職人員財產申報處,Kong-tsit Jîn-uân Tsâi-sán Sin-pò-tshù
公職人員財產申報處,Kong-tsit Lîn-uân Tsâi-sán Sin-pò-tshù
公職人員財產申報處,Kong-tsit Jîn-guân Tsâi-sán Sin-pò-tshù
公職人員財產申報處,Kong-tsit Lîn-guân Tsâi-sán Sin-pò-tshù
秘書處,Pì-su-tshú
綜合業務處,Tsong-ha̍p Gia̍p-bū-tshù
會計室,Kuè-kè-sik
統計室,Thóng-kè-sik
人事室,Jîn-sū-sik
人事室,Lîn-sū-sik
政風室,Tsìng-hong-sik
內政及族群委員會,Luē-tsìng ki̍p Tso̍k-kûn Uí-uân-huē
內政及族群委員會,Lāi-tsìng ki̍p Tso̍k-kûn Uí-uân-huē
外交及國防委員會,Guā-kau ki̍p Kok-hông Uí-uân-huē
社會福利及衛生環境委員會,Siā-huē Hok-lī ki̍p Uē-sing Khuân-kíng Uí-uân-huē
社會福利及衛生環境委員會,Siā-huē Hok-lī ki̍p Uē-sing Huân-kíng Uí-uân-huē
社會福利及衛生環境委員會,Siā-huē Hok-lī ki̍p Uī-sing Khuân-kíng Uí-uân-huē
社會福利及衛生環境委員會,Siā-huē Hok-lī ki̍p Uī-sing Huân-kíng Uí-uân-huē
財政及經濟委員會,Tsâi-tsìng ki̍p King-tsè Uí-uân-huē
教育及文化委員會,Kàu-io̍k ki̍p Bûn-huà Uí-uân-huē
交通及採購委員會,Kau-thong ki̍p Tshái-kòo Uí-uân-huē
司法及獄政委員會,Su-huat ki̍p Ga̍k-tsìng Uí-uân-huē
法規研究委員會,Huat-kui Gián-kiù Uí-uân-huē
諮詢委員會,Tsu-sûn Uí-uân-huē
廉政委員會,Liâm-tsìng Uí-uân-huē
監察委員紀律委員會,Kàm-tshat Uí-uân Kì-lu̍t Uí-uân-huē
國際事務小組,Kok-tsè Sū-bū Sió-tsoo
性別平等工作小組,Sìng-pia̍t Pîng-tíng Kang-tsok Sió-tsoo
人權保障工作小組,Jîn-khuân Pó-tsiong Kang-tsok Sió-tsoo
人權保障工作小組,Lîn-khuân Pó-tsiong Kang-tsok Sió-tsoo
審計部,Sím-kè-pōo
教育農林審計處,Kàu-io̍k Lông-lîm Sím-kè-tshù
交通建設審計處,Kau-thong Kiàn-siat Sím-kè-tshù
