漢字,臺灣台語羅馬字
家豪,Ka-hô
宗翰,Tsong-hān
柏翰,Pik-hān
宇翔,Ú-siông
志賢,Tsì-hiân
家宏,Ka-hông
志文,Tsì-bûn
威廷,Ui-tîng
柏諺,Pik-gān
柏宏,Pik-hông
志明,Tsì-bîng
志宏,Tsì-hông
彥廷,Gān-tîng
建成,Kiàn-sîng
俊良,Tsùn-liông
國雄,Kok-hiông
嘉宏,Ka-hông
哲維,Tiat-uî
建良,Kiàn-liông
政宏,Tsìng-hông
建宏,Kiàn-hông
冠廷,Kuàn-tîng
明德,Bîng-tik
冠霖,Kuàn-lîm
建華,Kiàn-huâ
明宏,Bîng-hông
文章,Bûn-tsiong
宗霖,Tsong-lîm
俊明,Tsùn-bîng
進發,Tsìn-huat
俊傑,Tsùn-kia̍t
志成,Tsì-sîng
文龍,Bûn-liông
志銘,Tsì-bîng
家瑋,Ka-uí
文賢,Bûn-hiân
明宗,Bîng-tsong
文欽,Bûn-khim
俊銘,Tsùn-bîng
柏霖,Pik-lîm
俊宏,Tsùn-hông
文雄,Bûn-hiông
俊賢,Tsùn-hiân
志雄,Tsì-hiông
家榮,Ka-îng
世昌,Sè-tshiong
宇軒,Ú-hian
博文,Phok-bûn
世明,Sè-bîng
建中,Kiàn-tiong
志豪,Tsì-hô
承恩,Sîng-un
志忠,Tsì-tiong
進財,Tsìn-tsâi
文祥,Bûn-siông
哲瑋,Tiat-uí
進興,Tsìn-hing
俊男,Tsùn-lâm
義雄,Gī-hiông
國榮,Kok-îng
志偉,Tsì-uí
金龍,Kim-liông
國華,Kok-huâ
明哲,Bîng-tiat
建志,Kiàn-tsì
文傑,Bûn-kia̍t
俊豪,Tsùn-hô
宗憲,Tsong-hiàn
建銘,Kiàn-bîng
志誠,Tsì-sîng
承翰,Sîng-hān
文彬,Bûn-pin
信宏,Sìn-hông
榮華,Îng-huâ
文正,Bûn-tsìng
正義,Tsìng-gī
俊廷,Tsùn-tîng
子豪,Tsú-hô
永昌,Íng-tshiong
聰明,Tshong-bîng
冠宇,Kuàn-ú
正雄,Tsìng-hiông
家銘,Ka-bîng
柏宇,Pik-ú
文忠,Bûn-tiong
武雄,Bú-hiông
冠宏,Kuàn-hông
俊宇,Tsùn-ú
文華,Bûn-huâ
俊佑,Tsùn-iū
志強,Tsì-kiông
明輝,Bîng-hui
俊雄,Tsùn-hiông
志鴻,Tsì-hông
凱翔,Khái-siông
建興,Kiàn-hing
仁傑,Jîn-kia̍t
勝雄,Sìng-hiông
子翔,Tsú-siông
志遠,Tsì-uán
淑芬,Siok-hun
秀美,Siù-bí
麗珠,Lê-tsu
惠美,Huī-bí
玉英,Gio̍k-ing
怡婷,Î-tîng
麗香,Lê-hiong
淑敏,Siok-bín
素卿,Sòo-khing
詩涵,Si-hâm
淑惠,Siok-huī
美華,Bí-huâ
麗娟,Lê-kuan
麗美,Lê-bí
淑慧,Siok-huī
麗玲,Lê-lîng
美鳳,Bí-hōng
玉珍,Gio̍k-tin
素琴,Sòo-khîm
秀霞,Siù-hâ
美玲,Bí-lîng
怡君,Î-kun
淑玲,Siok-lîng
秀珠,Siù-tsu
秀玲,Siù-lîng
宜蓁,Gî-tsin
美珍,Bí-tin
淑卿,Siok-khing
秀枝,Siù-ki
秀華,Siù-huâ
麗華,Lê-huâ
淑華,Siok-huâ
美雲,Bí-hûn
淑珍,Siok-tin
明珠,Bîng-tsu
月英,Gua̍t-ing
美英,Bí-ing
美慧,Bí-huī
金蓮,Kim-liân
麗琴,Lê-khîm
美惠,Bí-huī
美玉,Bí-gio̍k
雅雯,Ngá-bûn
欣怡,Him-î
秋香,Tshiu-hiong
淑芳,Siok-hong
碧珠,Phik-tsu
靜宜,Tsīng-gî
秋月,Tshiu-gua̍t
金鳳,Kim-hōng
淑貞,Siok-tsing
雅惠,Ngá-huī
雅玲,Ngá-lîng
素貞,Sòo-tsing
秀玉,Siù-gio̍k
玉玲,Gio̍k-lîng
碧雲,Phik-hûn
素珠,Sòo-tsu
麗雪,Lê-suat
麗珍,Lê-tin
雅婷,Ngá-tîng
秀蘭,Siù-lân
美麗,Bí-lê
秀珍,Siù-tin
麗雲,Lê-hûn
秀雲,Siù-hûn
佳蓉,Ka-iông
雅慧,Ngá-huī
惠珍,Huī-tin
玉鳳,Gio̍k-hōng
秀英,Siù-ing
淑美,Siok-bí
玉蘭,Gio̍k-lân
素珍,Sòo-tin
秀梅,Siù-muî
慧玲,Huī-lîng
美蘭,Bí-lân
靜怡,Tsīng-î
心怡,Sim-î
玉琴,Gio̍k-khîm
淑娟,Siok-kuan
秀鳳,Siù-hōng
月娥,Gua̍t-ngôo
惠玲,Huī-lîng
麗玉,Lê-gio̍k
春美,Tshun-bí
秀娟,Siù-kuan
玉美,Gio̍k-bí
佳玲,Ka-lîng
秀蓮,Siù-liân
秀琴,Siù-khîm
美珠,Bí-tsu
麗卿,Lê-khing
玉梅,Gio̍k-muî
寶珠,Pó-tsu
碧霞,Phik-hâ
美娟,Bí-kuan
雅萍,Ngá-phîng
鈺婷,Gio̍k-tîng
素蘭,Sòo-lân
春嬌,Tshun-kiau
