漢字,臺灣台語羅馬字
台灣,Tâi-uân
台語,Tâi-gí
台語,Tâi-gú
台語,Tâi-gír
台派,Tâi-phài
台灣味,Tâi-uân-bī
台語文,Tâi-gí-bûn
台語文,Tâi-gú-bûn
台語文,Tâi-gír-bûn
台文,Tâi-bûn
台語課,Tâi-gí-khò
台語課,Tâi-gú-khò
台語課,Tâi-gír-khò
台語冊,Tâi-gí-tsheh
台語冊,Tâi-gú-tsheh
台語冊,Tâi-gír-tsheh
台電,Tâi-tiān
台灣杉,Tâi-uân-sam
台灣百合,Tâi-uân pik-ha̍p
台籍,Tâi-tsi̍k
台灣歌,Tâi-uân-kua
台文系,Tâi-bûn-hē
台鐵,Tâi-thih
台語歌,Tâi-gí-kua
台語歌,Tâi-gú-kua
台語歌,Tâi-gír-kua
台肥,Tâi-puî
台商,Tâi-siong
台語界,Tâi-gí-kài
台語界,Tâi-gú-kài
台語界,Tâi-gír-kài
台灣土狗,Tâi-uân-thóo-káu
台文所,Tâi-bûn-sóo
台羅,Tâi-lô
台灣犬,Tâi-uân-khián
台式,Tâi-sik
台灣自治歌,Tâi-uân tsū-tī-kua
台語台,Tâi-gí-tâi
台語台,Tâi-gú-tâi
台語台,Tâi-gír-tâi
台視,Tâi-sī
台裔,Tâi-è
台南市內,Tâi-lâm tshī-lāi
台灣腔,Tâi-uân-khiunn
台灣語,Tâi-uân-gí
台灣語,Tâi-uân-gú
台灣語,Tâi-uân-gír
台獨,Tâi-to̍k
台灣鯛,Tâi-uân-tiau
台幣,Tâi-pè
台北市立天文科學教育館,Tâi-pak Tshī-li̍p Thian-bûn Kho-ha̍k Kàu-io̍k-kuán
台北市兒童交通博物館,Tâi-pak-tshī Jî-tông Kau-thong Phok-bu̍t-kuán
台灣民俗北投文物館,Tâi-uân Bîn-sio̍k Pak-tâu Bûn-bu̍t-kuán
台灣林業陳列館,Tâi-uân Lîm-gia̍p Tîn-lia̍t-kuán
台北二二八紀念館,Tâi-pak Jī-jī-pat Kì-liām-kuán
台北當代藝術館,Tâi-pak Tong-tāi Gē-su̍t-kuán
台北海洋大學,Tâi-pak Hái-iûnn Tāi-ha̍k
台北海洋館,Tâi-pak Hái-iûnn-kuán
台鐵美術館,Tâi-thih Bí-su̍t-kuán
台北探索館,Tâi-pak Thàm-soh-kuán
台北故事館,Tâi-pak Kòo-sū-kuán
台北探索館,Tâi-pak Thàm-soh-kuán
台北小巨蛋,Tâi-pak Sió-kī-tàn
台北101,Tâi-pak 101
台北小城,Tâi-pak Sió-siânn
台北車站,Tâi-pak Tshia-tsām
台大病院,Tâi-tāi Pēnn-īnn
台電大樓,Tâi-tiān Tuā-lâu
台中港,Tâi-tiong-káng
台中市,Tâi-tiong-tshī
台南市,Tâi-lâm-tshī
台東縣,Tâi-tang-kuān
台東市,Tâi-tang-tshī
台北市,Tâi-pak-tshī
台南府,Tâi-lâm-hú
台北橋,Tâi-pak-kiô
台西鄉,Tâi-se-hiong
台票,Tâi-phiò
台中,Tâi-tiong
台海,Tâi-hái
台南,Tâi-lâm
台東,Tâi-tang
台北,Tâi-pak
台胞,Tâi-pau
霧台鄉,Bū-tâi-hiong
佛光緣台北美術館,Hu̍t-kong-iân Tâi-pak Bí-su̍t-kuán
高鐵台中站,Ko-thih Tâi-tiong-tsām
國立台灣藝術教育館,Kok-li̍p Tâi-uân Gē-su̍t Kàu-io̍k-kuán
國立台灣科學教育院,Kok-li̍p Tâi-uân Kho-ha̍k Kàu-io̍k-īnn
國立台灣博物館,Kok-li̍p Tâi-uân Phok-bu̍t-kuán
順益台灣原住民博物館,Sūn-ik Tâi-uân Guân-tsū-bîn Phok-bu̍t-kuán
