漢字,臺灣台語羅馬字
十一,tsa̍p-it
十二,tsa̍p-jī
十二,tsa̍p-lī
十三,tsa̍p-sann
十四,tsa̍p-sì
十五,tsa̍p-gōo
十六,tsa̍p-la̍k
十七,tsa̍p-tshit
十八,tsa̍p-peh
十八,tsa̍p-pueh
十九,tsa̍p-káu
二十,jī-tsa̍p
二十一,jī-tsa̍p-it
二十二,jī-tsa̍p-jī
二十三,jī-tsa̍p-sann
二十四,jī-tsa̍p-sì
二十五,jī-tsa̍p-gōo
二十六,jī-tsa̍p-la̍k
二十七,jī-tsa̍p-tshit
二十八,jī-tsa̍p-peh
二十九,jī-tsa̍p-káu
二十,lī-tsa̍p
二十一,lī-tsa̍p-it
二十二,lī-tsa̍p-lī
二十三,lī-tsa̍p-sann
二十四,lī-tsa̍p-sì
二十五,lī-tsa̍p-gōo
二十六,lī-tsa̍p-la̍k
二十七,lī-tsa̍p-tshit
二十八,lī-tsa̍p-pueh
二十九,lī-tsa̍p-káu
三十,sann-tsa̍p
三十一,sann-tsa̍p-it
三十二,sann-tsa̍p-jī
三十二,sann-tsa̍p-lī
三十三,sann-tsa̍p-sann
三十四,sann-tsa̍p-sì
三十五,sann-tsa̍p-gōo
三十六,sann-tsa̍p-la̍k
三十七,sann-tsa̍p-tshit
三十八,sann-tsa̍p-peh
三十八,sann-tsa̍p-pueh
三十九,sann-tsa̍p-káu
四十,sì-tsa̍p
四十一,sì-tsa̍p-it
四十二,sì-tsa̍p-jī
四十二,sì-tsa̍p-lī
四十三,sì-tsa̍p-sann
四十四,sì-tsa̍p-sì
四十五,sì-tsa̍p-gōo
四十六,sì-tsa̍p-la̍k
四十七,sì-tsa̍p-tshit
四十八,sì-tsa̍p-peh
四十八,sì-tsa̍p-pueh
四十九,sì-tsa̍p-káu
五十,gōo-tsa̍p
五十一,gōo-tsa̍p-it
五十二,gōo-tsa̍p-jī
五十二,gōo-tsa̍p-lī
五十三,gōo-tsa̍p-sann
五十四,gōo-tsa̍p-sì
五十五,gōo-tsa̍p-gōo
五十六,gōo-tsa̍p-la̍k
五十七,gōo-tsa̍p-tshit
五十八,gōo-tsa̍p-peh
五十八,gōo-tsa̍p-pueh
五十九,gōo-tsa̍p-káu
六十,la̍k-tsa̍p
六十一,la̍k-tsa̍p-it
六十二,la̍k-tsa̍p-jī
六十二,la̍k-tsa̍p-lī
六十三,la̍k-tsa̍p-sann
六十四,la̍k-tsa̍p-sì
六十五,la̍k-tsa̍p-gōo
六十六,la̍k-tsa̍p-la̍k
六十七,la̍k-tsa̍p-tshit
六十八,la̍k-tsa̍p-peh
六十八,la̍k-tsa̍p-pueh
六十九,la̍k-tsa̍p-káu
七十,tshit-tsa̍p
七十一,tshit-tsa̍p-it
七十二,tshit-tsa̍p-jī
七十二,tshit-tsa̍p-lī
七十三,tshit-tsa̍p-sann
七十四,tshit-tsa̍p-sì
七十五,tshit-tsa̍p-gōo
七十六,tshit-tsa̍p-la̍k
七十七,tshit-tsa̍p-tshit
七十八,tshit-tsa̍p-peh
七十八,tshit-tsa̍p-pueh
七十九,tshit-tsa̍p-káu
八十,peh-tsa̍p
八十一,peh-tsa̍p-it
八十二,peh-tsa̍p-jī
八十二,peh-tsa̍p-lī
八十三,peh-tsa̍p-sann
八十四,peh-tsa̍p-sì
八十五,peh-tsa̍p-gōo
八十六,peh-tsa̍p-la̍k
八十七,peh-tsa̍p-tshit
八十八,peh-tsa̍p-peh
八十八,peh-tsa̍p-pueh
八十九,peh-tsa̍p-káu
八十,pueh-tsa̍p
八十一,pueh-tsa̍p-it
八十二,pueh-tsa̍p-jī
八十二,pueh-tsa̍p-lī
八十三,pueh-tsa̍p-sann
八十四,pueh-tsa̍p-sì
八十五,pueh-tsa̍p-gōo
八十六,pueh-tsa̍p-la̍k
八十七,pueh-tsa̍p-tshit
八十八,pueh-tsa̍p-peh
八十八,pueh-tsa̍p-pueh
八十九,pueh-tsa̍p-káu
九十,káu-tsa̍p
九十一,káu-tsa̍p-it
九十二,káu-tsa̍p-jī
九十二,káu-tsa̍p-lī
九十三,káu-tsa̍p-sann
九十四,káu-tsa̍p-sì
九十五,káu-tsa̍p-gōo
九十六,káu-tsa̍p-la̍k
九十七,káu-tsa̍p-tshit
九十八,káu-tsa̍p-peh
九十八,káu-tsa̍p-pueh
九十九,káu-tsa̍p-káu
一百,tsi̍t-pah
兩百,nn̄g-pah
二百,jī-pah
二百,lī-pah
三百,sann-pah
四百,sì-pah
五百,gōo-pah
六百,la̍k-pah
七百,tshit-pah
八百,peh-pah
八百,pueh-pah
九百,káu-pah
一千,tsi̍t-tshing
兩千,nn̄g-tshing
二千,jī-tshing
二千,lī-tshing
三千,sann-tshing
四千,sì-tshing
五千,gōo-tshing
六千,la̍k-tshing
七千,tshit-tshing
八千,peh-tshing
八千,pueh-tshing
九千,káu-tshing
一萬,tsi̍t-bān
兩萬,nn̄g-bān
二萬,jī-bān
二萬,lī-bān
三萬,sann-bān
四萬,sì-bān
五萬,gōo-bān
六萬,la̍k-bān
七萬,tshit-bān
八萬,peh-bān
八萬,pueh-bān
九萬,káu-bān
十萬,tsa̍p-bān
十一萬,tsa̍p-it-bān
十二萬,tsa̍p-jī-bān
十二萬,tsa̍p-lī-bān
十三萬,tsa̍p-sann-bān
十四萬,tsa̍p-sì-bān
十五萬,tsa̍p-gōo-bān
十六萬,tsa̍p-la̍k-bān
十七萬,tsa̍p-tshit-bān
十八萬,tsa̍p-peh-bān
十八萬,tsa̍p-pueh-bān
十九萬,tsa̍p-káu-bān
二十萬,jī-tsa̍p-bān
二十一萬,jī-tsa̍p-it-bān
二十二萬,jī-tsa̍p-jī-bān
二十三萬,jī-tsa̍p-sann-bān
二十四萬,jī-tsa̍p-sì-bān
二十五萬,jī-tsa̍p-gōo-bān
二十六萬,jī-tsa̍p-la̍k-bān
