漢字,臺灣台語羅馬字
臺北市,Tâi-pak-tshī
中正區,Tiong-tsìng-khu
大同區,Tāi-tông-khu
大龍峒,Tuā-lōng-pong
中山區,Tiong-san-khu
松山區,Siông-san-khu
大安區,Tāi-an-khu
萬華區,Bān-huâ-khu
艋舺,Báng-kah
信義區,Sìn-gī-khu
士林區,Sū-lîm-khu
北投區,Pak-tâu-khu
內湖區,Lāi-ôo-khu
南港區,Lâm-káng-khu
文山區,Bûn-san-khu
基隆市,Ke-lâng-tshī
仁愛區,Jîn-ài-khu
信義區,Sìn-gī-khu
中正區,Tiong-tsìng-khu
中山區,Tiong-san-khu
安樂區,An-lo̍k-khu
暖暖區,Luán-luán-khu
七堵區,Tshit-tóo-khu
新北市,Sin-pak-tshī
萬里區,Bān-lí-khu
金山區,Kim-san-khu
枋橋區,Pang-kiô-khu
汐止區,Si̍p-tsí-khu
汐止區,Si̍k-tsí-khu
深坑區,Tshim-khinn-khu
石碇區,Tsio̍h-tīng-khu
瑞芳區,Suī-hong-khu
平溪區,Pîng-khue-khu
平溪區,Pîng-khe-khu
平溪區,Pînn-khere-khu
平溪區,Pîng-khere-khu
雙溪區,Siang-khe-khu
貢寮區,Kòng-liâu-khu
貢仔寮,Khong-á-liâu
新店區,Sin-tiàm-khu
坪林區,Pînn-nâ-khu
烏來區,U-lai-khu
永和區,Íng-hô-khu
中和區,Tiong-hô-khu
塗城區,Thôo-siânn-khu
三峽區,Sam-kiap-khu
樹林區,Tshiū-nâ-khu
樹林仔,Tshiū-nâ-á
鶯歌區,Ing-ko-khu
三重區,Sam-tiông-khu
三重埔,Sann-tîng-poo
新莊區,Sin-tsng-khu
泰山區,Thài-san-khu
林口區,Nâ-kháu-khu
蘆洲區,Lôo-tsiu-khu
五股區,Gōo-kóo-khu
八里區,Pat-lí-khu
淡水區,Tām-tsuí-khu
淡水區,Tām-suí-khu
三芝區,Sam-tsi-khu
石門區,Tsio̍h-mn̂g-khu
宜蘭縣,Gî-lân-kuān
宜蘭市,Gî-lân-tshī
頭城鎮,Thâu-siânn-tìn
礁溪鄉,Ta-khe-hiong
礁溪鄉,Ta-khe-hiang
壯圍鄉,Tsòng-uî-hiong
壯圍鄉,Tsòng-uî-hiang
員山鄉,Înn-suann-hiong
員山鄉,Înn-suann-hiang
羅東鎮,Lô-tong-tìn
三星鄉,Sam-sing-hiong
三星鄉,Sam-sing-hiang
大同鄉,Tāi-tông-hiong
大同鄉,Tāi-tông-hiang
五結鄉,Gōo-kiat-hiong
五結鄉,Gōo-kiat-hiang
冬山鄉,Tang-suann-hiong
冬山鄉,Tang-suann-hiang
蘇澳鎮,Soo-ò-tìn
南澳鄉,Lâm-ò-hiong
南澳鄉,Lâm-ò-hiang
新竹市,Sin-tik-tshī
東區,Tang-khu
北區,Pak-khu
香山區,Hiong-san-khu
新竹縣,Sin-tik-kuān
竹北市,Tik-pak-tshī
湖口鄉,Ôo-kháu-hiong
新豐鄉,Sin-hong-hiong
新埔鎮,Sin-poo-tìn
關西鎮,Kuan-se-tìn
芎林鄉,Kiong-nâ-hiong
寶山鄉,Pó-suann-hiong
寶山鄉,Pó-san-hiong
竹東鎮,Tik-tang-tìn
五峰鄉,Ngóo-hong-hiong
橫山鄉,Huînn-suann-hiong
橫山鄉,Huâinn-suann-hiong
尖石鄉,Tsiam-tsio̍h-hiong
北埔鄉,Pak-poo-hiong
峨眉鄉,Ge̍h-bâi-hiong
月眉鄉,Ge̍h-bâi-hiong
峨眉鄉,Ngôo-bî-hiong
桃園市,Thô-hn̂g-tshī
中壢區,Tiong-li̍k-khu
平鎮區,Pîng-tìn-khu
龍潭區,Liông-thâm-khu
楊梅區,Iûnn-muî-khu
新屋區,Sin-ok-khu
新厝仔,Sin-tshù-á
觀音區,Kuan-im-khu
桃園區,Thô-hn̂g-khu
龜山區,Ku-suann-khu
八德區,Peh-teh-khu
八塊區,Peh-teh-khu
八德區,Pat-tik-khu
大溪區,Tāi-khe-khu
復興區,Ho̍k-hing-khu
大園區,Tuā-hn̂g-khu
大園仔,Tuā-hn̂g-á
蘆竹區,Lôo-tik-khu
苗栗縣,Biâu-li̍k-kuān
竹南鎮,Tik-lâm-tìn
頭份市,Thâu-hūn-tshī
三灣鄉,Sam-uan-hiong
南庄鄉,Lâm-tsng-hiong
獅潭鄉,Sai-thâm-hiong
後龍鎮,Āu-lâng-tìn
後壠鎮,Āu-lâng-tìn
通霄鎮,Thong-siau-tìn
苑裡鎮,Uán-lí-tìn
苗栗市,Biâu-li̍k-tshī
造橋鄉,Tsō-kiô-hiong
頭屋鄉,Thâu-ok-hiong
公館鄉,Kong-kuán-hiong
大湖鄉,Tuā-ôo-hiong
泰安鄉,Thài-an-hiong
銅鑼鄉,Tâng-lô-hiong
三義鄉,Sam-gī-hiong
西湖鄉,Se-ôo-hiong
卓蘭鎮,Tà-lân-tìn
卓蘭鎮,Tánn-lân-tìn
卓蘭鄉,Tà-lân-hiong
卓蘭鄉,Tánn-lân-hiong
臺中市,Tâi-tiong-tshī
中區,Tiong-khu
東區,Tang-khu
南區,Lâm-khu
西區,Sai-khu
北區,Pak-khu
北屯區,Pak-tūn-khu
西屯區,Sai-tūn-khu
南屯區,Lâm-tūn-khu
太平區,Thài-phîng-khu
大里區,Tāi-lí-khu
霧峰區,Bū-hong-khu
烏日區,Oo-ji̍t-khu
豐原區,Hong-guân-khu
后里區,Āu-lí-khu
石岡區,Tsio̍h-kng-khu
石岡仔,Tsio̍h-kng-á
東勢區,Tang-sì-khu
和平區,Hô-pîng-khu
新社區,Sin-siā-khu
潭子區,Thâm-tsú-khu
大雅區,Tāi-ngé-khu
神岡區,Sin-kóng-khu
新廣區,Sin-kóng-khu
大肚區,Tuā-tōo-khu
沙鹿區,Sua-lak-khu
沙轆區,Sua-lak-khu
龍井區,Liông-tsénn-khu
龍井區,Liông-tsínn-khu
龍井區,Lîng-tsénn-khu
龍井區,Lîng-tsínn-khu
梧棲區,Gōo-tshe-khu
五汊區,Gōo-tshe-khu
清水區,Tshing-tsuí-khu
清水區,Tshing-suí-khu
大甲區,Tāi-kah-khu
外埔區,Guā-poo-khu
大安區,Tāi-an-khu
彰化縣,Tsiong-huà-kuān
彰化市,Tsiong-huà-tshī
彰化縣,Tsiang-huà-kuān
彰化市,Tsiang-huà-tshī
芬園鄉,Hun-hn̂g-hiong
花壇鄉,Hue-tuânn-hiong
秀水鄉,Siù-tsuí-hiong
鹿港鎮,Lo̍k-káng-tìn
福興鄉,Hok-hing-hiong
線西鄉,Suànn-sai-hiong
和美鎮,Hô-bí-tìn
伸港鄉,Sin-káng-hiong
新港鄉,Sin-káng-hiong
員林市,Uân-lîm-tshī
社頭鄉,Siā-thâu-hiong
永靖鄉,Íng-tsīng-hiong
永靖鄉,Éng-tsēng-hiong
埔心鄉,Poo-sim-hiong
溪湖鎮,Khe-ôo-tìn
大村鄉,Tāi-tshuan-hiong
埔鹽鄉,Poo-iâm-hiong
田中鎮,Tiân-tiong-tìn
北斗鎮,Pó-táu-tìn
寶斗鎮,Pó-táu-tìn
田尾鄉,Tshân-bué-hiong
埤頭鄉,Pi-thâu-hiong
溪州鄉,Khe-tsiu-hiong
竹塘鄉,Tik-tn̂g-hiong
二林鎮,Jī-lîm-tìn
大城鄉,Tuā-siânn-hiong
芳苑鄉,Hong-uán-hiong
二水鄉,Jī-tsuí-hiong
南投縣,Lâm-tâu-kuān
南投市,Lâm-tâu-tshī
中寮鄉,Tiong-liâu-hiong
草屯鎮,Tsháu-tùn-tìn
草鞋墩,Tsháu-ê-tun
國姓鄉,Kok-sìng-hiong
埔里鎮,Poo-lí-tìn
仁愛鄉,Jîn-ài-hiong
名間鄉,Bîng-kan-hiong
集集鎮,Tsi̍p-tsi̍p-tìn
水里鄉,Tsuí-lí-hiong
魚池鄉,Hî-tî-hiong
魚池仔,Hî-tî-á
信義鄉,Sìn-gī-hiong
竹山鎮,Tik-san-tìn
鹿谷鄉,Lo̍k-kok-hiong
嘉義市,Ka-gī-tshī
東區,Tang-khu
西區,Sai-khu
嘉義縣,Ka-gī-kuān
番路鄉,Huan-lōo-hiong
梅山鄉,Buê-san-hiong
竹崎鄉,Tik-kiā-hiong
阿里山鄉,A-lí-san-hiong
大枋,Tuā-pang
中埔鄉,Tiong-poo-hiong
大埔鄉,Tuā-poo-hiong
水上鄉,Tsuí-siōng-hiong
水上鄉,Tsuí-siāng-hiang
鹿草鄉,Lo̍k-tsháu-hiong
太保市,Thài-pó-tshī
朴子市,Phoh-tsú-tshī
東石鄉,Tang-tsio̍h-hiong
六腳鄉,La̍k-kha-hiong
新港鄉,Sin-káng-hiong
民雄鄉,Bîn-hiông-hiong
大林鎮,Tuā-nâ-tìn
溪口鄉,Khe-kháu-hiong
義竹鄉,Gī-tik-hiong
